Open,High,Low,Close,Volume
1019.099976,1019.099976,1019.099976,1019.099976,35865
1019.099976,1019.099976,995.401978,995.401978,41667
995.401978,1019.099976,995.401978,995.401978,29536
995.401978,995.401978,995.401978,995.401978,552741
995.401978,995.401978,971.702026,971.702026,244725
995.401978,995.401978,971.702026,971.702026,295885
995.401978,995.401978,948.002014,971.702026,264767
971.702026,995.401978,971.702026,995.401978,271624
995.401978,995.401978,971.702026,971.702026,10548
995.401978,1042.800049,995.401978,1042.800049,573838
995.401978,1066.5,995.401978,1019.099976,577530
1019.099976,1019.099976,1019.099976,1019.099976,134493
995.401978,1042.800049,995.401978,1042.800049,493670
1066.5,1113.900024,1042.800049,1066.5,1195145
1042.800049,1090.199951,1042.800049,1066.5,30591
1090.199951,1090.199951,1066.5,1066.5,26899
1066.5,1090.199951,1066.5,1090.199951,122890
1090.199951,1090.199951,1066.5,1066.5,90717
1042.800049,1042.800049,1042.800049,1042.800049,1055
1066.5,1066.5,995.401978,995.401978,94936
995.401978,1019.099976,995.401978,1019.099976,1055
1019.099976,1019.099976,1019.099976,1019.099976,1582
995.401978,995.401978,995.401978,995.401978,35337
1019.099976,1019.099976,995.401978,1019.099976,11076
1019.099976,1019.099976,1019.099976,1019.099976,30591
1042.800049,1042.800049,1042.800049,1042.800049,100738
1066.5,1066.5,1042.800049,1066.5,93354
1066.5,1066.5,1019.099976,1042.800049,110232
1042.800049,1042.800049,1019.099976,1019.099976,90190
1042.800049,1042.800049,1042.800049,1042.800049,39029
1042.800049,1042.800049,1019.099976,1019.099976,98628
1019.099976,1019.099976,1019.099976,1019.099976,10548
1019.099976,1019.099976,1019.099976,1019.099976,27426
1019.099976,1019.099976,1019.099976,1019.099976,18460
1019.099976,1019.099976,1019.099976,1019.099976,11603
1019.099976,1019.099976,1019.099976,1019.099976,37447
1019.099976,1019.099976,1019.099976,1019.099976,22152
1019.099976,1019.099976,1019.099976,1019.099976,70675
1019.099976,1019.099976,1019.099976,1019.099976,26371
1019.099976,1066.5,1019.099976,1066.5,433543
1042.800049,1090.199951,1042.800049,1066.5,59072
1042.800049,1042.800049,1042.800049,1042.800049,53797
1042.800049,1042.800049,1042.800049,1042.800049,11076
1042.800049,1042.800049,1042.800049,1042.800049,12131
1019.099976,1042.800049,1019.099976,1019.099976,204641
1042.800049,1042.800049,1019.099976,1019.099976,130801
1042.800049,1161.300049,1042.800049,1113.900024,2499467
1113.900024,1113.900024,1066.5,1066.5,543248
1066.5,1090.199951,1066.5,1066.5,319092
1090.199951,1090.199951,1066.5,1066.5,182489
1066.5,1090.199951,1066.5,1090.199951,209915
1066.5,1066.5,1066.5,1066.5,2637
1090.199951,1090.199951,1066.5,1066.5,31646
1066.5,1090.199951,1066.5,1066.5,290611
1090.199951,1137.599976,1090.199951,1090.199951,2766344
1113.900024,1161.300049,1090.199951,1137.599976,3563811
1137.599976,1137.599976,1113.900024,1137.599976,1114976
1137.599976,1137.599976,1113.900024,1137.599976,743669
1113.900024,1113.900024,1113.900024,1113.900024,372889
1137.599976,1232.400024,1090.199951,1185,7463064
1161.300049,1185,1137.599976,1161.300049,1199364
1185,1185,1161.300049,1161.300049,1174048
1161.300049,1185,1161.300049,1161.300049,1454638
1137.599976,1161.300049,1137.599976,1137.599976,113924
1137.599976,1161.300049,1137.599976,1161.300049,284810
1161.300049,1161.300049,1137.599976,1137.599976,149789
1137.599976,1137.599976,1137.599976,1137.599976,353375
